#id;name;owner;core,;population;culturex%,;administrative division;trade_goods;life_rating;continent,,,,,,,,,,,,,,,,,,,,,,,,,,
1309;Tanjore;RAJ;HND,DRA;15871;tamil 83%," indian_muslim 17%;Tanjore;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1310;Madurai;RAJ;HND,DRA;9774;tamil 96%," christian_malayalam 4%;Madurai;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1311;Coimbatore;RAJ,"DRA;HND;10000;tamil 100%;Coimbatore;tea;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1312;Pondicherry;FRA;HND,"DRA;6063;tamil 100%;Pondicherry;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1313;Bangalore;MYS;HND,MYS;13556;indian_muslim 20%, indian_shia 11%," kannada 69%;Bangalore;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1314;Mysore;MYS;HND,"MYS;8230;kannada 100%;Mysore;tea;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1315;Chitaldroog;MYS;HND,"MYS;3432;kannada 100%;Chitaldroog;tea;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1316;Mangalore;RAJ;HND;3009;kannada 90%," indian_muslim 10%;Mangalore;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1317;Calicut;RAJ;HND,TRA;11842;indian_muslim 37%," malayalam 63%;Calicut;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1318;Cochin;TRA;HND,TRA;15609;christian_malayalam 25%, malayalam 65%," indian_muslim 10%;Cochin;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1319;Trivandrum;TRA;HND,TRA;5936;christian_malayalam 43%, indian_muslim 37%," malayalam 20%;Trivandrum;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
"1320;Andaman Islands;RAJ;HND;380;indian 100%;Andaman Islands;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328;Tumlong;SIK;SIK;610;nepali 60%," sikkim 40%;Tumlong;wool;25;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1593;Tawang;RAJ;HND, CHI,KMT;1382;tibetan 13%, assamese 34%, asian_minor 33%," naga 20%;Tawang;cattle;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,
2566;Agartala;RAJ;HND,MIZ;1091;tripuri 2%, asian_minor 20%, bengali_hindu 3%, bengali 1%," mizoram 74%;Mizoram;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
#TOT;India;ENG;;-2;indian 60%, sikh 1.9%, tibetan 0.1%, goan 0.03%, indian_muslim 11.29%, bengali_hindu 6.0%, bengali 2.11%, telegu 7.19%, tamil 5.91%, christian_malayalam 3.21%, assamese 1.28%, nepali 0.28%, bodo 0.1%, naga 0.25%, asian_minor 0.45%;1137885;;;,,,,,,,,,,,,,,
2193;Comayagua;HON;HON;2490;white_spanish 3%," mestizo 97%;Comayagua;coffee;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2194;San Pedro Sula;HON;HON;3706;mestizo 85%," native_american_minor 15%;San Pedro Sula;cotton;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2195;La Ceiba;HON;HON;1761;mestizo 93%," black_spanish 7%;La Ceiba;fruit;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2196;Puerto Lempira;NIC;HON,NIC,ATL;88;mestizo 90%," black_anglo 10%;Puerto Lempira;oil_seeds;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Honduras;HON;;0;mestizo 90%, native_american_minor 7%, black_spanish 2%, white_spanish 1%;8045;;;,,,,,,,,,,,,,,,,,,,,,,,,,
"623;Sopron;HUN;HUN;251;hungarian 100%;Sopron;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"639;Zalaegerszeg;HUN;HUN;251;hungarian 100%;Zalaegerszeg;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
640;Pecs;HUN;HUN;495;german 26%," hungarian 74%;Pecs;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
641;Budapest;HUN;HUN;2825;roma 7%," hungarian 93%;Budapest;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"642;Gyor;HUN;HUN;251;hungarian 100%;Gyor;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"643;Szekesfehevar;HUN;HUN;1114;hungarian 100%;Szekesfehevar;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"644;Kaposvar;HUN;HUN;495;hungarian 100%;Kaposvar;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"645;Kecskemet;HUN;HUN;683;hungarian 100%;Kecskemet;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"646;Miskolc;HUN;HUN;1289;hungarian 100%;Miskolc;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"648;Debrecen;HUN;HUN;777;hungarian 100%;Debrecen;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"649;Szeged;HUN;HUN;683;hungarian 100%;Szeged;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"650;Bekescsab;HUN;HUN;777;hungarian 100%;Bekescsab;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Hungary;HUN;;0;Hungarian 96.8%, Roma 1.9%, german 1.3% ;9891;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
252;Iceland;ICL;ICL;325;icelandic 94%," polish 6%;Iceland;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"257;Donegal;IRE;IRE;147;irish 100%;Ulster;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"258;Galway;IRE;IRE;271;irish 100%;Connacht;other_minerals;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"259;Sligo;IRE;IRE;271;irish 100%;Connacht;coal;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"260;Cork;IRE;IRE;415;irish 100%;Cork;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"261;Limerick;IRE;IRE;415;irish 100%;Limerick;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"262;Waterford;IRE;IRE;415;irish 100%;Waterford;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
263;Dublin;IRE;IRE;2154;Irish 80%, polish 5%, white_anglo 10%, chinese 2%," black_anglo 3%;Leinster;other_minerals;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,
"264;Kildare;IRE;IRE;147;irish 100%;Ulster;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265;Wexford;IRE;IRE;350;irish 100%;Leinster;coal;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Ireland;IRE;;0;Irish 89.5%, polish 2.5%, white_anglo 4.6%, chinese 1.9%, black_anglo 1.4%;4585;;;,,,,,,,,,,,,,,,,,,,,,,,,
923;Mosul;IRQ;IRQ;3270;sunni_arab 57%, shia_arab 6%, kurdish 28%, christian_arab 1%," turkish 8%;Nineveh;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
924;Arbil;IRQ;IRQ,KUR;2740;kurdish 99%, christian_arab 1%;Arbil," Dohuk;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
925;Kirkuk;IRQ;IRQ,KUR;3273;kurdish 60%, sunni_arab 31%, turkish 8%, christian_arab 1%;Kirkuk," Sulaymaniyah ;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
926;Baghdad;IRQ;IRQ;7077;shia_arab 75%, sunni_arab 17%," jewish 8%;Baghdad;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
927;Samarra;IRQ;IRQ;1408;sunni_arab 85%, kurdish 5%," shia_arab 10%;Saladin;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
928;Mendeli;IRQ;IRQ;1443;sunni_arab 40%, shia_arab 49%, kurdish 4%," turkish 7% ;Diyala;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
929;Karbala;IRQ;IRQ;3886;sunni_arab 5%, shia_arab 95%;Karbala," Babil;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
930;Kut;IRQ;IRQ;2181;shia_arab 100%;Misran," Wasit;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"931;Rutbah;IRQ;IRQ;1564;sunni_arab 100%;Anbar;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"932;Basra;IRQ;IRQ;2532;shia_arab 100%;Basra;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"933;Nasiriyya;IRQ;IRQ;1836;shia_arab 100%;Dhi Qar;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
934;Najaf;IRQ;IRQ;3138;shia_arab 90%, sunni_arab 10%;Muthanna, Njaf," Al-Qadisiyyah;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Iraq;IRQ;;0;shia_arab 62%, sunni_arab 22%, Kurdish 16.7%, Turkmen 0.6%, christian_arab 0.6%;34348;;;,,,,,,,,,,,,,,,,,,,,,,,,
916;Acre;ENG;PAL,ISR;495;jewish 31%, christian_arab 11%," sunni_arab 58%;Acre;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
917;Jerusalem;ENG;PAL;253;haredim_jewish 20%, sunni_arab 42%, jewish 20%," christian_arab 18%;Jerusalem;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
918;Nablus;ENG;PAL;300;sunni_arab 96%, haredim_jewish 1%," christian_arab 2%;Nablus;other_minerals;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
919;Jaffa;ENG;PAL,ISR;636;jewish 54%, christian_arab 2%," sunni_arab 44%;Jaffa;gold_silver;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
920;Gaza;ENG;GAZ,PAL;150;sunni_arab 98%," christian_arab 2%;Gaza;oil_seeds;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
921;Beersheba;ENG;PAL,ISR;9;jewish 7%," sunni_arab 93%;Beersheba;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Isreal;ENG;;4161;Jewish 65.1%, haredim_jewish 10%, sunni_arab 24.9%;7565;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
720;Turin;ITA;ITA;3500;Italian 87%, romanian 4%, roma 1%, sunni_arab 2.3%, black_french 2.2%, albanian 2%, chinese 1%, indian 0.3%,"  indian_muslim 0.2%;Turin;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,
721;Aosta;ITA;ITA, AOS;128;french 75%," italian 25%;Aosta;wool;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
"722;Novara;ITA;ITA;500;italian 100%;Novara;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"723;Alessandria;ITA;ITA;456;italian 100%;Alessandria;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"724;Genoa;ITA;ITA;1000;Italian 100%;Genoa;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"725;Savona;ITA;ITA;616;italian 100%;Savona;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"726;Milan;ITA;ITA;7499;Italian 100%;Milan;cotton;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"727;Bergamo;ITA;ITA;1220;italian 100%;Bergamo;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"728;Brescia;ITA;ITA;1190;italian 100%;Brescia;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"729;Venice;ITA;ITA;2222;Italian 100%;Venice;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"730;Verona;ITA;ITA;1214;Italian 100%;Verona;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"731;Padua;ITA;ITA;750;italian 100%;Padua;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"732;Treviso;ITA;ITA;750;italian 100%;Treviso;iron;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
733;Udine;ITA;ITA, FVG;888;romansh 33%," italian 67%;Udine;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
734;Trent;ITA;ITA, SUT;525;italian 96%," romansh 4%;Trent;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
735;Bozen;ITA;ITA, SUT;511;german 64%, italian 32%," romansh 4%;Bozen;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
736;Trieste;USA;ITA,FVG,"TRE;205;italian 100%;Trieste;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
737;Gorizia;ITA;ITA,FVG;142;slovene 11%," italian 89%;Gorizia;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
"738;Parma;ITA;ITA;886;Italian 100%;Parma;iron;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"739;Modena;ITA;ITA;886;Italian 100%;Modena;other_minerals;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"740;Massa;ITA;ITA;625;italian 100%;Massa;timber;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"741;Bologna;ITA;ITA;886;Italian 100%;Bologna;timber;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"742;Ferrara;ITA;ITA;886;italian 100%;Ferrara;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"743;Ravenna;ITA;ITA;886;italian 100%;Ravenna;wool;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"744;Florence;ITA;ITA;625;Italian 100%;Florence;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"745;Leghorn;ITA;ITA;625;italian 100%;Leghorn;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"746;Lucca;ITA;ITA;625;italian 100%;Lucca;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"747;Siena;ITA;ITA;625;italian 100%;Siena;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"748;Grosetto;ITA;ITA;625;italian 100%;Grosetto;cattle;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"749;Rome;ITA;ITA;4650;Italian 100%;Rome;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"750;Viterbo;ITA;ITA;724;italian 100%;Viterbo;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"751;Perugia;ITA;ITA;906;italian 100%;Perugia;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"752;Ancona;ITA;ITA;1564;Italian 100%;Ancona;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"753;Aquila;ITA;ITA;1342;italian 100%;Aquila;wool;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"754;Naples;ITA;ITA;3788;italian 100%;Naples;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755;Salerno;ITA;ITA;833;italian 100%;Salerno;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756;Bari;ITA;ITA;2045;italian 100%;Bari;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757;Foggia;ITA;ITA;319;italian 100%;Foggia;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
758;Brindisi;ITA;ITA;2045;albanian 5%," italian 95%;Brindisi;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"759;Reggio di Calabria;ITA;ITA;1006;italian 100%;Reggio di Calabria;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"760;Catanzaro;ITA;ITA;1006;italian 100%;Catanzaro;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"761;Potenza;ITA;ITA;587;italian 100%;Potenza;fruit;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
762;Palermo;ITA;ITA," SCI;2850;italian 100%;Palermo;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
763;Messina;ITA;ITA," SCI;1650;italian 100%;Messina;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
764;Catania;ITA;ITA," SCI;550;italian 100%;Catania;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
765;Cagliari;ITA;ITA, SAR;598;sardinian 80%," italian 20%;Cagliari;other_minerals;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
766;Sassari;ITA;ITA, SAR;1078;sardinian 50%, corsican 18%, catalan 1%," italian 31%;Sassari;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,
"2567;Gaeta;ITA;ITA;350;italian 100%;Gaeta;fish;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Italy;ITA;;0;Italian 91.0%, german 0.37%, romansh 0.5%, french 0.4%, sardianian 1.7%, corsican 0.2%, catalan 0.03%, romanian 1.7%, roma 0.3%, sunni_arab 1.0%, black_french 1.0%, albanian 1.0%, chinese 0.5%, indian 0.2%,  indian_muslim 0.1%;59387;;;,,,,,,,,,,,,,,
1892;Grand Lahou;FRA;IVC;4930;akan 90%, christian_arab 4%, french 1%," black_french 5%;Grand Lahou;coffee;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1893;Sassandra;FRA;IVC;2863;kru 71%," mande 29%;Sassandra;fish;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1894;Grand Bassam;FRA;IVC;536;akan 100%;Grand Bassam;timber;35;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895;Bouake;FRA;IVC;1927;akan 90%," mande 10%;Bouake;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1896;Man;FRA;IVC;2754;mande 100%;Man;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897;Akoupe;FRA;IVC;1397;akan 80%," gur 20%;Akoupe;coffee;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1898;Kong;FRA;IVC;2550;gur 90%," mande 10%;Kong;fruit;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1899;Bondouku;FRA;IVC;700;gur 100%;Bondouku;coffee;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900;Odienne;FRA;IVC;882;mande 100%;Odienne;fruit;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Ivory Coast;FRA;;0;Akan 42.1%, Gur 17.6%, Mande 26.5%, Kru 11%, christian_arab 1.2%, french 0.2%, black_french 1.4%;18539;;;,,,,,,,,,,,,,,,,,,,,,,
2217;Jamaica;ENG;JAM;2889;black_anglo 92.1%, mestizo 6.1%, Indian 0.8%," white_anglo 1.0%;Jamaica;bauxite;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
"1638;Hiroshima;JAP;JAP;2878;japanese 100%;Hiroshima;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1639;Okayama;JAP;JAP;1950;japanese 100%;Okayama;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1640;Yamaguchi;JAP;JAP;1528;japanese 100%;Yamaguchi;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1641;Matsue;JAP;JAP;761;japanese 100%;Matsue;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1642;Hakodate;JAP;JAP;4682;japanese 100%;Hakodate;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643;Ishikara;JAP;JAP;500;japanese 95%," ainu 5%;Ishikara;coal;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1644;Nemuru;JAP;JAP;500;japanese 95%," ainu 5%;Nemuru;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1645;Niigata;JAP;JAP;2475;japanese 100%;Niigata;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1646;Kanazawa;JAP;JAP;8489;japanese 100%;Kanazawa;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1647;Fukui;JAP;JAP;828;japanese 100%;Fukui;other_minerals;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1648;Toyama;JAP;JAP;1120;japanese 100%;Toyama;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649;Edo;JAP;JAP;12059;japanese 83%, chinese 4%, korean 5%, filipino 6%," Ryukyuan 2%;Edo;other_minerals;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
"1650;Chiba;JAP;JAP;5926;japanese 100%;Chiba;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1651;Yokohama;JAP;JAP;8489;japanese 100%;Yokohama;fish;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1652;Urawa;JAP;JAP;6938;japanese 100%;Urawa;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1653;Mito;JAP;JAP;2985;japanese 100%;Mito;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1654;Bonin;USA;JAP;2;japanese 100%;Bonin;fish;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1655;Osaka;JAP;JAP;8804;japanese 100%;Osaka;other_minerals;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1656;Wakayama;JAP;JAP;1069;japanese 100%;Wakayama;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1657;Kyoto;JAP;JAP;2644;japanese 100%;Kyoto;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1658;Nara;JAP;JAP;1442;japanese 100%;Nara;tea;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1659;Kobe;JAP;JAP;5550;japanese 100%;Kobe;cattle;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1660;Fukuoka;JAP;JAP;5015;japanese 100%;Fukuoka;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1661;Nagasaki;JAP;JAP;1516;japanese 100%;Nagasaki;coal;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1662;Kagoshima;JAP;JAP;1786;japanese 100%;Kagoshima;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1663;Miyazaki;JAP;JAP;1170;japanese 100%;Miyazaki;fish;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1664;Kumamoto;JAP;JAP;1859;japanese 100%;Kumamoto;coal;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1665;Kochi;JAP;JAP;813;japanese 100%;Kochi;fish;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666;Matsuyama;JAP;JAP;1943;japanese 100%;Matsuyama;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1667;Tokushima;JAP;JAP;823;japanese 100%;Tokushima;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1668;Sendai;JAP;JAP;2365;japanese 100%;Sendai;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1669;Fukushima;JAP;JAP;2126;japanese 100%;Fukushima;fish;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1670;Morioka;JAP;JAP;1416;japanese 100%;Morioka;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1671;Akita;JAP;JAP;1189;japanese 100%;Akita;petroleum;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1672;Aomori;JAP;JAP;1475;japanese 100%;Aomori;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1673;Yamagata;JAP;JAP;1244;japanese 100%;Yamagata;fruit;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1674;Utsunomiya;JAP;JAP;4028;japanese 100%;Utsunomiya;tobacco;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1675;Nagoya;JAP;JAP;2107;japanese 100%;Nagoya;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1676;Shizuoka;JAP;JAP;3767;japanese 100%;Shizuoka;tea;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1677;Nagano;JAP;JAP;2214;japanese 100%;Nagano;gold_silver;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678;Okinawa;USA;JAP,RYK,CHI,"KMT;1000;Ryukyuan 100%;Okinawa;gas;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1679;Amari;USA;JAP,"RYK;318;Ryukyuan 100%;Amari;sugar;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2525;Marcus;USA;JAP;0;japanese 100%;Marcus;other_minerals;10;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Japan;JAP;;119793;Japanese 97.2%, Korean 0.5%, Chinese 0.4%, filipino 0.6%, Rikukyuan 1.3%;;;;,,,,,,,,,,,,,,,,,,,,,,,,
1385;Johor Bahru;MSY;MSY;3233;chinese 40%, indian 12%," malay 48%;Johor Bahru;rubber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1386;Malacca;ENG;MSY;788;chinese 35%, indian 8%," malay 57%;Malacca;rubber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1387;Kuala Lumpur;MSY;MSY;8015;chinese 40%, indian 17%," malay 43%;Kuala Lumpur;oil_seeds;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1388;Penang;ENG;MSY;1520;chinese 50%, indian 12%," malay 38%;Penang;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1389;Alor Setar;MSY;MSY;2117;chinese 30%, indian 8%," malay 62%;Alor Setar;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1390;Kuantan;MSY;MSY;1443;chinese 30%, indian 5%," malay 65%;Kuantan;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1391;Kota Bahru;MSY;MSY;2474;chinese 24%," malay 76%;Kota Bahru;rubber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1394;Kuching;ENG;MSY;1675;kalimatan 44%, chinese 28%, malay 18%," asian_minor 10%;Kuching;oil_seeds;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1395;Bintulu;ENG;MSY;745;kalimatan 44%, chinese 28%, malay 18%," asian_minor 10%;Bintulu;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
